"","Domain","GEOID","CountyName","NAME","Label","Stat","Value"
"1","badegreeE","51003010100","Albemarle County","Census Tract 101, Albemarle County, Virginia","% with Bachelors Degree","Estimate","45.2% of Adults"
"2","life_expE","51003010100","Albemarle County","Census Tract 101, Albemarle County, Virginia","Average Life Expectancy","Estimate","84.3 Years"
"3","hhincE","51003010100","Albemarle County","Census Tract 101, Albemarle County, Virginia","Median Household Income","Estimate","$ 92,083"
"4","badegreeE","51003010201","Albemarle County","Census Tract 102.01, Albemarle County, Virginia","% with Bachelors Degree","Estimate","48.5% of Adults"
"5","life_expE","51003010201","Albemarle County","Census Tract 102.01, Albemarle County, Virginia","Average Life Expectancy","Estimate","77.3 Years"
"6","hhincE","51003010201","Albemarle County","Census Tract 102.01, Albemarle County, Virginia","Median Household Income","Estimate","$ 81,169"
"7","badegreeE","51003010202","Albemarle County","Census Tract 102.02, Albemarle County, Virginia","% with Bachelors Degree","Estimate","67.2% of Adults"
"8","life_expE","51003010202","Albemarle County","Census Tract 102.02, Albemarle County, Virginia","Average Life Expectancy","Estimate","80.9 Years"
"9","hhincE","51003010202","Albemarle County","Census Tract 102.02, Albemarle County, Virginia","Median Household Income","Estimate","$122,045"
"10","badegreeE","51003010300","Albemarle County","Census Tract 103, Albemarle County, Virginia","% with Bachelors Degree","Estimate","53.2% of Adults"
"11","life_expE","51003010300","Albemarle County","Census Tract 103, Albemarle County, Virginia","Average Life Expectancy","Estimate","81.9 Years"
"12","hhincE","51003010300","Albemarle County","Census Tract 103, Albemarle County, Virginia","Median Household Income","Estimate","$ 79,417"
"13","badegreeE","51003010401","Albemarle County","Census Tract 104.01, Albemarle County, Virginia","% with Bachelors Degree","Estimate","42.3% of Adults"
"14","life_expE","51003010401","Albemarle County","Census Tract 104.01, Albemarle County, Virginia","Average Life Expectancy","Estimate","80.6 Years"
"15","hhincE","51003010401","Albemarle County","Census Tract 104.01, Albemarle County, Virginia","Median Household Income","Estimate","$ 78,808"
"16","badegreeE","51003010402","Albemarle County","Census Tract 104.02, Albemarle County, Virginia","% with Bachelors Degree","Estimate","57.8% of Adults"
"17","life_expE","51003010402","Albemarle County","Census Tract 104.02, Albemarle County, Virginia","Average Life Expectancy","Estimate","83.7 Years"
"18","hhincE","51003010402","Albemarle County","Census Tract 104.02, Albemarle County, Virginia","Median Household Income","Estimate","$105,809"
"19","badegreeE","51003010500","Albemarle County","Census Tract 105, Albemarle County, Virginia","% with Bachelors Degree","Estimate","59.4% of Adults"
"20","life_expE","51003010500","Albemarle County","Census Tract 105, Albemarle County, Virginia","Average Life Expectancy","Estimate","82.8 Years"
"21","hhincE","51003010500","Albemarle County","Census Tract 105, Albemarle County, Virginia","Median Household Income","Estimate","$ 76,273"
"22","badegreeE","51003010601","Albemarle County","Census Tract 106.01, Albemarle County, Virginia","% with Bachelors Degree","Estimate","49.5% of Adults"
"23","life_expE","51003010601","Albemarle County","Census Tract 106.01, Albemarle County, Virginia","Average Life Expectancy","Estimate","79.7 Years"
"24","hhincE","51003010601","Albemarle County","Census Tract 106.01, Albemarle County, Virginia","Median Household Income","Estimate","$ 59,781"
"25","badegreeE","51003010602","Albemarle County","Census Tract 106.02, Albemarle County, Virginia","% with Bachelors Degree","Estimate","65.9% of Adults"
"26","life_expE","51003010602","Albemarle County","Census Tract 106.02, Albemarle County, Virginia","Average Life Expectancy","Estimate","80.2 Years"
"27","hhincE","51003010602","Albemarle County","Census Tract 106.02, Albemarle County, Virginia","Median Household Income","Estimate","$ 95,282"
"28","badegreeE","51003010700","Albemarle County","Census Tract 107, Albemarle County, Virginia","% with Bachelors Degree","Estimate","35.6% of Adults"
"29","life_expE","51003010700","Albemarle County","Census Tract 107, Albemarle County, Virginia","Average Life Expectancy","Estimate","76.7 Years"
"30","hhincE","51003010700","Albemarle County","Census Tract 107, Albemarle County, Virginia","Median Household Income","Estimate","$ 52,262"
"31","badegreeE","51003010800","Albemarle County","Census Tract 108, Albemarle County, Virginia","% with Bachelors Degree","Estimate","57.1% of Adults"
"32","life_expE","51003010800","Albemarle County","Census Tract 108, Albemarle County, Virginia","Average Life Expectancy","Estimate","82.6 Years"
"33","hhincE","51003010800","Albemarle County","Census Tract 108, Albemarle County, Virginia","Median Household Income","Estimate","$ 64,799"
"34","badegreeE","51003010901","Albemarle County","Census Tract 109.01, Albemarle County, Virginia","% with Bachelors Degree","Estimate","92.4% of Adults"
"35","life_expE","51003010901","Albemarle County","Census Tract 109.01, Albemarle County, Virginia","Average Life Expectancy","Estimate","78.6 Years"
"36","hhincE","51003010901","Albemarle County","Census Tract 109.01, Albemarle County, Virginia","Median Household Income","Estimate","$ 36,042"
"37","badegreeE","51003010902","Albemarle County","Census Tract 109.02, Albemarle County, Virginia","% with Bachelors Degree","Estimate","55.1% of Adults"
"38","life_expE","51003010902","Albemarle County","Census Tract 109.02, Albemarle County, Virginia","Average Life Expectancy","Estimate","NA Years"
"39","hhincE","51003010902","Albemarle County","Census Tract 109.02, Albemarle County, Virginia","Median Household Income","Estimate","$ 40,694"
"40","badegreeE","51003010903","Albemarle County","Census Tract 109.03, Albemarle County, Virginia","% with Bachelors Degree","Estimate","58.1% of Adults"
"41","life_expE","51003010903","Albemarle County","Census Tract 109.03, Albemarle County, Virginia","Average Life Expectancy","Estimate","NA Years"
"42","hhincE","51003010903","Albemarle County","Census Tract 109.03, Albemarle County, Virginia","Median Household Income","Estimate","$  2,499"
"43","badegreeE","51003011000","Albemarle County","Census Tract 110, Albemarle County, Virginia","% with Bachelors Degree","Estimate","79.5% of Adults"
"44","life_expE","51003011000","Albemarle County","Census Tract 110, Albemarle County, Virginia","Average Life Expectancy","Estimate","86.3 Years"
"45","hhincE","51003011000","Albemarle County","Census Tract 110, Albemarle County, Virginia","Median Household Income","Estimate","$146,100"
"46","badegreeE","51003011100","Albemarle County","Census Tract 111, Albemarle County, Virginia","% with Bachelors Degree","Estimate","61.8% of Adults"
"47","life_expE","51003011100","Albemarle County","Census Tract 111, Albemarle County, Virginia","Average Life Expectancy","Estimate","80.7 Years"
"48","hhincE","51003011100","Albemarle County","Census Tract 111, Albemarle County, Virginia","Median Household Income","Estimate","$ 76,196"
"49","badegreeE","51003011201","Albemarle County","Census Tract 112.01, Albemarle County, Virginia","% with Bachelors Degree","Estimate","49.6% of Adults"
"50","life_expE","51003011201","Albemarle County","Census Tract 112.01, Albemarle County, Virginia","Average Life Expectancy","Estimate","78.5 Years"
"51","hhincE","51003011201","Albemarle County","Census Tract 112.01, Albemarle County, Virginia","Median Household Income","Estimate","$ 76,184"
"52","badegreeE","51003011202","Albemarle County","Census Tract 112.02, Albemarle County, Virginia","% with Bachelors Degree","Estimate","70.4% of Adults"
"53","life_expE","51003011202","Albemarle County","Census Tract 112.02, Albemarle County, Virginia","Average Life Expectancy","Estimate","87.1 Years"
"54","hhincE","51003011202","Albemarle County","Census Tract 112.02, Albemarle County, Virginia","Median Household Income","Estimate","$121,910"
"55","badegreeE","51003011301","Albemarle County","Census Tract 113.01, Albemarle County, Virginia","% with Bachelors Degree","Estimate","33.6% of Adults"
"56","life_expE","51003011301","Albemarle County","Census Tract 113.01, Albemarle County, Virginia","Average Life Expectancy","Estimate","84.1 Years"
"57","hhincE","51003011301","Albemarle County","Census Tract 113.01, Albemarle County, Virginia","Median Household Income","Estimate","$ 73,315"
"58","badegreeE","51003011302","Albemarle County","Census Tract 113.02, Albemarle County, Virginia","% with Bachelors Degree","Estimate","42.7% of Adults"
"59","life_expE","51003011302","Albemarle County","Census Tract 113.02, Albemarle County, Virginia","Average Life Expectancy","Estimate","75.5 Years"
"60","hhincE","51003011302","Albemarle County","Census Tract 113.02, Albemarle County, Virginia","Median Household Income","Estimate","$ 60,659"
"61","badegreeE","51003011303","Albemarle County","Census Tract 113.03, Albemarle County, Virginia","% with Bachelors Degree","Estimate","61.7% of Adults"
"62","life_expE","51003011303","Albemarle County","Census Tract 113.03, Albemarle County, Virginia","Average Life Expectancy","Estimate","80 Years"
"63","hhincE","51003011303","Albemarle County","Census Tract 113.03, Albemarle County, Virginia","Median Household Income","Estimate","$ 81,726"
"64","badegreeE","51003011400","Albemarle County","Census Tract 114, Albemarle County, Virginia","% with Bachelors Degree","Estimate","27.4% of Adults"
"65","life_expE","51003011400","Albemarle County","Census Tract 114, Albemarle County, Virginia","Average Life Expectancy","Estimate","79 Years"
"66","hhincE","51003011400","Albemarle County","Census Tract 114, Albemarle County, Virginia","Median Household Income","Estimate","$ 53,969"
"67","badegreeE","51029930101","Buckingham County","Census Tract 9301.01, Buckingham County, Virginia","% with Bachelors Degree","Estimate","9.2% of Adults"
"68","life_expE","51029930101","Buckingham County","Census Tract 9301.01, Buckingham County, Virginia","Average Life Expectancy","Estimate","77.2 Years"
"69","hhincE","51029930101","Buckingham County","Census Tract 9301.01, Buckingham County, Virginia","Median Household Income","Estimate","$45,377"
"70","badegreeE","51029930102","Buckingham County","Census Tract 9301.02, Buckingham County, Virginia","% with Bachelors Degree","Estimate","13.7% of Adults"
"71","life_expE","51029930102","Buckingham County","Census Tract 9301.02, Buckingham County, Virginia","Average Life Expectancy","Estimate","75.7 Years"
"72","hhincE","51029930102","Buckingham County","Census Tract 9301.02, Buckingham County, Virginia","Median Household Income","Estimate","$42,540"
"73","badegreeE","51029930201","Buckingham County","Census Tract 9302.01, Buckingham County, Virginia","% with Bachelors Degree","Estimate","6.3% of Adults"
"74","life_expE","51029930201","Buckingham County","Census Tract 9302.01, Buckingham County, Virginia","Average Life Expectancy","Estimate","78.1 Years"
"75","hhincE","51029930201","Buckingham County","Census Tract 9302.01, Buckingham County, Virginia","Median Household Income","Estimate","$48,151"
"76","badegreeE","51029930202","Buckingham County","Census Tract 9302.02, Buckingham County, Virginia","% with Bachelors Degree","Estimate","18.2% of Adults"
"77","life_expE","51029930202","Buckingham County","Census Tract 9302.02, Buckingham County, Virginia","Average Life Expectancy","Estimate","80.3 Years"
"78","hhincE","51029930202","Buckingham County","Census Tract 9302.02, Buckingham County, Virginia","Median Household Income","Estimate","$51,212"
"79","badegreeE","51065020101","Fluvanna County","Census Tract 201.01, Fluvanna County, Virginia","% with Bachelors Degree","Estimate","24.9% of Adults"
"80","life_expE","51065020101","Fluvanna County","Census Tract 201.01, Fluvanna County, Virginia","Average Life Expectancy","Estimate","77.9 Years"
"81","hhincE","51065020101","Fluvanna County","Census Tract 201.01, Fluvanna County, Virginia","Median Household Income","Estimate","$78,654"
"82","badegreeE","51065020102","Fluvanna County","Census Tract 201.02, Fluvanna County, Virginia","% with Bachelors Degree","Estimate","48.1% of Adults"
"83","life_expE","51065020102","Fluvanna County","Census Tract 201.02, Fluvanna County, Virginia","Average Life Expectancy","Estimate","85.3 Years"
"84","hhincE","51065020102","Fluvanna County","Census Tract 201.02, Fluvanna County, Virginia","Median Household Income","Estimate","$77,466"
"85","badegreeE","51065020200","Fluvanna County","Census Tract 202, Fluvanna County, Virginia","% with Bachelors Degree","Estimate","27.5% of Adults"
"86","life_expE","51065020200","Fluvanna County","Census Tract 202, Fluvanna County, Virginia","Average Life Expectancy","Estimate","76.8 Years"
"87","hhincE","51065020200","Fluvanna County","Census Tract 202, Fluvanna County, Virginia","Median Household Income","Estimate","$68,817"
"88","badegreeE","51065020300","Fluvanna County","Census Tract 203, Fluvanna County, Virginia","% with Bachelors Degree","Estimate","27.2% of Adults"
"89","life_expE","51065020300","Fluvanna County","Census Tract 203, Fluvanna County, Virginia","Average Life Expectancy","Estimate","NA Years"
"90","hhincE","51065020300","Fluvanna County","Census Tract 203, Fluvanna County, Virginia","Median Household Income","Estimate","$68,906"
"91","badegreeE","51079030101","Greene County","Census Tract 301.01, Greene County, Virginia","% with Bachelors Degree","Estimate","22.2% of Adults"
"92","life_expE","51079030101","Greene County","Census Tract 301.01, Greene County, Virginia","Average Life Expectancy","Estimate","75.2 Years"
"93","hhincE","51079030101","Greene County","Census Tract 301.01, Greene County, Virginia","Median Household Income","Estimate","$53,667"
"94","badegreeE","51079030102","Greene County","Census Tract 301.02, Greene County, Virginia","% with Bachelors Degree","Estimate","22.3% of Adults"
"95","life_expE","51079030102","Greene County","Census Tract 301.02, Greene County, Virginia","Average Life Expectancy","Estimate","84.7 Years"
"96","hhincE","51079030102","Greene County","Census Tract 301.02, Greene County, Virginia","Median Household Income","Estimate","$59,949"
"97","badegreeE","51079030200","Greene County","Census Tract 302, Greene County, Virginia","% with Bachelors Degree","Estimate","32.7% of Adults"
"98","life_expE","51079030200","Greene County","Census Tract 302, Greene County, Virginia","Average Life Expectancy","Estimate","81.6 Years"
"99","hhincE","51079030200","Greene County","Census Tract 302, Greene County, Virginia","Median Household Income","Estimate","$74,676"
"100","badegreeE","51109950100","Louisa County","Census Tract 9501, Louisa County, Virginia","% with Bachelors Degree","Estimate","23.1% of Adults"
"101","life_expE","51109950100","Louisa County","Census Tract 9501, Louisa County, Virginia","Average Life Expectancy","Estimate","79.8 Years"
"102","hhincE","51109950100","Louisa County","Census Tract 9501, Louisa County, Virginia","Median Household Income","Estimate","$68,979"
"103","badegreeE","51109950201","Louisa County","Census Tract 9502.01, Louisa County, Virginia","% with Bachelors Degree","Estimate","21.7% of Adults"
"104","life_expE","51109950201","Louisa County","Census Tract 9502.01, Louisa County, Virginia","Average Life Expectancy","Estimate","75.9 Years"
"105","hhincE","51109950201","Louisa County","Census Tract 9502.01, Louisa County, Virginia","Median Household Income","Estimate","$41,900"
"106","badegreeE","51109950202","Louisa County","Census Tract 9502.02, Louisa County, Virginia","% with Bachelors Degree","Estimate","25.9% of Adults"
"107","life_expE","51109950202","Louisa County","Census Tract 9502.02, Louisa County, Virginia","Average Life Expectancy","Estimate","80 Years"
"108","hhincE","51109950202","Louisa County","Census Tract 9502.02, Louisa County, Virginia","Median Household Income","Estimate","$63,860"
"109","badegreeE","51109950300","Louisa County","Census Tract 9503, Louisa County, Virginia","% with Bachelors Degree","Estimate","26.6% of Adults"
"110","life_expE","51109950300","Louisa County","Census Tract 9503, Louisa County, Virginia","Average Life Expectancy","Estimate","77.6 Years"
"111","hhincE","51109950300","Louisa County","Census Tract 9503, Louisa County, Virginia","Median Household Income","Estimate","$61,891"
"112","badegreeE","51109950400","Louisa County","Census Tract 9504, Louisa County, Virginia","% with Bachelors Degree","Estimate","31.7% of Adults"
"113","life_expE","51109950400","Louisa County","Census Tract 9504, Louisa County, Virginia","Average Life Expectancy","Estimate","76 Years"
"114","hhincE","51109950400","Louisa County","Census Tract 9504, Louisa County, Virginia","Median Household Income","Estimate","$58,810"
"115","badegreeE","51109950500","Louisa County","Census Tract 9505, Louisa County, Virginia","% with Bachelors Degree","Estimate","14.1% of Adults"
"116","life_expE","51109950500","Louisa County","Census Tract 9505, Louisa County, Virginia","Average Life Expectancy","Estimate","76.1 Years"
"117","hhincE","51109950500","Louisa County","Census Tract 9505, Louisa County, Virginia","Median Household Income","Estimate","$56,383"
"118","badegreeE","51113930100","Madison County","Census Tract 9301, Madison County, Virginia","% with Bachelors Degree","Estimate","26.4% of Adults"
"119","life_expE","51113930100","Madison County","Census Tract 9301, Madison County, Virginia","Average Life Expectancy","Estimate","80.4 Years"
"120","hhincE","51113930100","Madison County","Census Tract 9301, Madison County, Virginia","Median Household Income","Estimate","$63,377"
"121","badegreeE","51113930200","Madison County","Census Tract 9302, Madison County, Virginia","% with Bachelors Degree","Estimate","21.2% of Adults"
"122","life_expE","51113930200","Madison County","Census Tract 9302, Madison County, Virginia","Average Life Expectancy","Estimate","76 Years"
"123","hhincE","51113930200","Madison County","Census Tract 9302, Madison County, Virginia","Median Household Income","Estimate","$48,821"
"124","badegreeE","51125950100","Nelson County","Census Tract 9501, Nelson County, Virginia","% with Bachelors Degree","Estimate","11.6% of Adults"
"125","life_expE","51125950100","Nelson County","Census Tract 9501, Nelson County, Virginia","Average Life Expectancy","Estimate","73.3 Years"
"126","hhincE","51125950100","Nelson County","Census Tract 9501, Nelson County, Virginia","Median Household Income","Estimate","$50,881"
"127","badegreeE","51125950200","Nelson County","Census Tract 9502, Nelson County, Virginia","% with Bachelors Degree","Estimate","51.5% of Adults"
"128","life_expE","51125950200","Nelson County","Census Tract 9502, Nelson County, Virginia","Average Life Expectancy","Estimate","82.4 Years"
"129","hhincE","51125950200","Nelson County","Census Tract 9502, Nelson County, Virginia","Median Household Income","Estimate","$75,169"
"130","badegreeE","51125950300","Nelson County","Census Tract 9503, Nelson County, Virginia","% with Bachelors Degree","Estimate","29% of Adults"
"131","life_expE","51125950300","Nelson County","Census Tract 9503, Nelson County, Virginia","Average Life Expectancy","Estimate","77.6 Years"
"132","hhincE","51125950300","Nelson County","Census Tract 9503, Nelson County, Virginia","Median Household Income","Estimate","$59,500"
"133","badegreeE","51137110102","Orange County","Census Tract 1101.02, Orange County, Virginia","% with Bachelors Degree","Estimate","12.5% of Adults"
"134","life_expE","51137110102","Orange County","Census Tract 1101.02, Orange County, Virginia","Average Life Expectancy","Estimate","75.1 Years"
"135","hhincE","51137110102","Orange County","Census Tract 1101.02, Orange County, Virginia","Median Household Income","Estimate","$64,605"
"136","badegreeE","51137110103","Orange County","Census Tract 1101.03, Orange County, Virginia","% with Bachelors Degree","Estimate","37.6% of Adults"
"137","life_expE","51137110103","Orange County","Census Tract 1101.03, Orange County, Virginia","Average Life Expectancy","Estimate","82.2 Years"
"138","hhincE","51137110103","Orange County","Census Tract 1101.03, Orange County, Virginia","Median Household Income","Estimate","$83,412"
"139","badegreeE","51137110104","Orange County","Census Tract 1101.04, Orange County, Virginia","% with Bachelors Degree","Estimate","19.6% of Adults"
"140","life_expE","51137110104","Orange County","Census Tract 1101.04, Orange County, Virginia","Average Life Expectancy","Estimate","79.7 Years"
"141","hhincE","51137110104","Orange County","Census Tract 1101.04, Orange County, Virginia","Median Household Income","Estimate","$73,170"
"142","badegreeE","51137110200","Orange County","Census Tract 1102, Orange County, Virginia","% with Bachelors Degree","Estimate","24.4% of Adults"
"143","life_expE","51137110200","Orange County","Census Tract 1102, Orange County, Virginia","Average Life Expectancy","Estimate","76.7 Years"
"144","hhincE","51137110200","Orange County","Census Tract 1102, Orange County, Virginia","Median Household Income","Estimate","$44,732"
"145","badegreeE","51137110300","Orange County","Census Tract 1103, Orange County, Virginia","% with Bachelors Degree","Estimate","20.7% of Adults"
"146","life_expE","51137110300","Orange County","Census Tract 1103, Orange County, Virginia","Average Life Expectancy","Estimate","78.6 Years"
"147","hhincE","51137110300","Orange County","Census Tract 1103, Orange County, Virginia","Median Household Income","Estimate","$62,656"
"148","badegreeE","51540000201","Charlottesville","Census Tract 2.01, Charlottesville city, Virginia","% with Bachelors Degree","Estimate","58.6% of Adults"
"149","life_expE","51540000201","Charlottesville","Census Tract 2.01, Charlottesville city, Virginia","Average Life Expectancy","Estimate","78.7 Years"
"150","hhincE","51540000201","Charlottesville","Census Tract 2.01, Charlottesville city, Virginia","Median Household Income","Estimate","$57,991"
"151","badegreeE","51540000202","Charlottesville","Census Tract 2.02, Charlottesville city, Virginia","% with Bachelors Degree","Estimate","30.5% of Adults"
"152","life_expE","51540000202","Charlottesville","Census Tract 2.02, Charlottesville city, Virginia","Average Life Expectancy","Estimate","NA Years"
"153","hhincE","51540000202","Charlottesville","Census Tract 2.02, Charlottesville city, Virginia","Median Household Income","Estimate","$22,957"
"154","badegreeE","51540000302","Charlottesville","Census Tract 3.02, Charlottesville city, Virginia","% with Bachelors Degree","Estimate","50.7% of Adults"
"155","life_expE","51540000302","Charlottesville","Census Tract 3.02, Charlottesville city, Virginia","Average Life Expectancy","Estimate","80.4 Years"
"156","hhincE","51540000302","Charlottesville","Census Tract 3.02, Charlottesville city, Virginia","Median Household Income","Estimate","$63,382"
"157","badegreeE","51540000401","Charlottesville","Census Tract 4.01, Charlottesville city, Virginia","% with Bachelors Degree","Estimate","38.5% of Adults"
"158","life_expE","51540000401","Charlottesville","Census Tract 4.01, Charlottesville city, Virginia","Average Life Expectancy","Estimate","73.7 Years"
"159","hhincE","51540000401","Charlottesville","Census Tract 4.01, Charlottesville city, Virginia","Median Household Income","Estimate","$52,083"
"160","badegreeE","51540000402","Charlottesville","Census Tract 4.02, Charlottesville city, Virginia","% with Bachelors Degree","Estimate","38.3% of Adults"
"161","life_expE","51540000402","Charlottesville","Census Tract 4.02, Charlottesville city, Virginia","Average Life Expectancy","Estimate","76.3 Years"
"162","hhincE","51540000402","Charlottesville","Census Tract 4.02, Charlottesville city, Virginia","Median Household Income","Estimate","$58,478"
"163","badegreeE","51540000501","Charlottesville","Census Tract 5.01, Charlottesville city, Virginia","% with Bachelors Degree","Estimate","31.7% of Adults"
"164","life_expE","51540000501","Charlottesville","Census Tract 5.01, Charlottesville city, Virginia","Average Life Expectancy","Estimate","76.4 Years"
"165","hhincE","51540000501","Charlottesville","Census Tract 5.01, Charlottesville city, Virginia","Median Household Income","Estimate","$40,074"
"166","badegreeE","51540000502","Charlottesville","Census Tract 5.02, Charlottesville city, Virginia","% with Bachelors Degree","Estimate","60.9% of Adults"
"167","life_expE","51540000502","Charlottesville","Census Tract 5.02, Charlottesville city, Virginia","Average Life Expectancy","Estimate","79.8 Years"
"168","hhincE","51540000502","Charlottesville","Census Tract 5.02, Charlottesville city, Virginia","Median Household Income","Estimate","$88,000"
"169","badegreeE","51540000600","Charlottesville","Census Tract 6, Charlottesville city, Virginia","% with Bachelors Degree","Estimate","64% of Adults"
"170","life_expE","51540000600","Charlottesville","Census Tract 6, Charlottesville city, Virginia","Average Life Expectancy","Estimate","NA Years"
"171","hhincE","51540000600","Charlottesville","Census Tract 6, Charlottesville city, Virginia","Median Household Income","Estimate","$31,458"
"172","badegreeE","51540000700","Charlottesville","Census Tract 7, Charlottesville city, Virginia","% with Bachelors Degree","Estimate","82.5% of Adults"
"173","life_expE","51540000700","Charlottesville","Census Tract 7, Charlottesville city, Virginia","Average Life Expectancy","Estimate","82.6 Years"
"174","hhincE","51540000700","Charlottesville","Census Tract 7, Charlottesville city, Virginia","Median Household Income","Estimate","$78,565"
"175","badegreeE","51540000800","Charlottesville","Census Tract 8, Charlottesville city, Virginia","% with Bachelors Degree","Estimate","51.7% of Adults"
"176","life_expE","51540000800","Charlottesville","Census Tract 8, Charlottesville city, Virginia","Average Life Expectancy","Estimate","79.4 Years"
"177","hhincE","51540000800","Charlottesville","Census Tract 8, Charlottesville city, Virginia","Median Household Income","Estimate","$75,293"
"178","badegreeE","51540000900","Charlottesville","Census Tract 9, Charlottesville city, Virginia","% with Bachelors Degree","Estimate","52.2% of Adults"
"179","life_expE","51540000900","Charlottesville","Census Tract 9, Charlottesville city, Virginia","Average Life Expectancy","Estimate","81.3 Years"
"180","hhincE","51540000900","Charlottesville","Census Tract 9, Charlottesville city, Virginia","Median Household Income","Estimate","$72,267"
"181","badegreeE","51540001000","Charlottesville","Census Tract 10, Charlottesville city, Virginia","% with Bachelors Degree","Estimate","74.4% of Adults"
"182","life_expE","51540001000","Charlottesville","Census Tract 10, Charlottesville city, Virginia","Average Life Expectancy","Estimate","82.5 Years"
"183","hhincE","51540001000","Charlottesville","Census Tract 10, Charlottesville city, Virginia","Median Household Income","Estimate","$76,220"
"184","badegreeE","51003010100","Albemarle County","Census Tract 101, Albemarle County, Virginia","% with Bachelors Degree","County Comaprison","19.4% Below Median"
"185","life_expE","51003010100","Albemarle County","Census Tract 101, Albemarle County, Virginia","Average Life Expectancy","County Comaprison","4.5% Above Median"
"186","hhincE","51003010100","Albemarle County","Census Tract 101, Albemarle County, Virginia","Median Household Income","County Comaprison","20.8% Above Median"
"187","badegreeE","51003010201","Albemarle County","Census Tract 102.01, Albemarle County, Virginia","% with Bachelors Degree","County Comaprison","13.5% Below Median"
"188","life_expE","51003010201","Albemarle County","Census Tract 102.01, Albemarle County, Virginia","Average Life Expectancy","County Comaprison","4.2% Below Median"
"189","hhincE","51003010201","Albemarle County","Census Tract 102.01, Albemarle County, Virginia","Median Household Income","County Comaprison","6.5% Above Median"
"190","badegreeE","51003010202","Albemarle County","Census Tract 102.02, Albemarle County, Virginia","% with Bachelors Degree","County Comaprison","19.8% Above Median"
"191","life_expE","51003010202","Albemarle County","Census Tract 102.02, Albemarle County, Virginia","Average Life Expectancy","County Comaprison","0.3% Above Median"
"192","hhincE","51003010202","Albemarle County","Census Tract 102.02, Albemarle County, Virginia","Median Household Income","County Comaprison","60.1% Above Median"
"193","badegreeE","51003010300","Albemarle County","Census Tract 103, Albemarle County, Virginia","% with Bachelors Degree","County Comaprison","5.2% Below Median"
"194","life_expE","51003010300","Albemarle County","Census Tract 103, Albemarle County, Virginia","Average Life Expectancy","County Comaprison","1.5% Above Median"
"195","hhincE","51003010300","Albemarle County","Census Tract 103, Albemarle County, Virginia","Median Household Income","County Comaprison","4.2% Above Median"
