"","Domain","GEOID","CountyName","NAME","Label","Stat","Value"
"196","badegreeE","51003010401","Albemarle County","Census Tract 104.01, Albemarle County, Virginia","% with Bachelors Degree","County Comaprison","24.6% Below Median"
"197","life_expE","51003010401","Albemarle County","Census Tract 104.01, Albemarle County, Virginia","Average Life Expectancy","County Comaprison","0.1% Below Median"
"198","hhincE","51003010401","Albemarle County","Census Tract 104.01, Albemarle County, Virginia","Median Household Income","County Comaprison","3.4% Above Median"
"199","badegreeE","51003010402","Albemarle County","Census Tract 104.02, Albemarle County, Virginia","% with Bachelors Degree","County Comaprison","3% Above Median"
"200","life_expE","51003010402","Albemarle County","Census Tract 104.02, Albemarle County, Virginia","Average Life Expectancy","County Comaprison","3.8% Above Median"
"201","hhincE","51003010402","Albemarle County","Census Tract 104.02, Albemarle County, Virginia","Median Household Income","County Comaprison","38.8% Above Median"
"202","badegreeE","51003010500","Albemarle County","Census Tract 105, Albemarle County, Virginia","% with Bachelors Degree","County Comaprison","5.9% Above Median"
"203","life_expE","51003010500","Albemarle County","Census Tract 105, Albemarle County, Virginia","Average Life Expectancy","County Comaprison","2.7% Above Median"
"204","hhincE","51003010500","Albemarle County","Census Tract 105, Albemarle County, Virginia","Median Household Income","County Comaprison","0.1% Above Median"
"205","badegreeE","51003010601","Albemarle County","Census Tract 106.01, Albemarle County, Virginia","% with Bachelors Degree","County Comaprison","11.8% Below Median"
"206","life_expE","51003010601","Albemarle County","Census Tract 106.01, Albemarle County, Virginia","Average Life Expectancy","County Comaprison","1.2% Below Median"
"207","hhincE","51003010601","Albemarle County","Census Tract 106.01, Albemarle County, Virginia","Median Household Income","County Comaprison","21.6% Below Median"
"208","badegreeE","51003010602","Albemarle County","Census Tract 106.02, Albemarle County, Virginia","% with Bachelors Degree","County Comaprison","17.5% Above Median"
"209","life_expE","51003010602","Albemarle County","Census Tract 106.02, Albemarle County, Virginia","Average Life Expectancy","County Comaprison","0.6% Below Median"
"210","hhincE","51003010602","Albemarle County","Census Tract 106.02, Albemarle County, Virginia","Median Household Income","County Comaprison","25% Above Median"
"211","badegreeE","51003010700","Albemarle County","Census Tract 107, Albemarle County, Virginia","% with Bachelors Degree","County Comaprison","36.5% Below Median"
"212","life_expE","51003010700","Albemarle County","Census Tract 107, Albemarle County, Virginia","Average Life Expectancy","County Comaprison","4.9% Below Median"
"213","hhincE","51003010700","Albemarle County","Census Tract 107, Albemarle County, Virginia","Median Household Income","County Comaprison","31.4% Below Median"
"214","badegreeE","51003010800","Albemarle County","Census Tract 108, Albemarle County, Virginia","% with Bachelors Degree","County Comaprison","1.8% Above Median"
"215","life_expE","51003010800","Albemarle County","Census Tract 108, Albemarle County, Virginia","Average Life Expectancy","County Comaprison","2.4% Above Median"
"216","hhincE","51003010800","Albemarle County","Census Tract 108, Albemarle County, Virginia","Median Household Income","County Comaprison","15% Below Median"
"217","badegreeE","51003010901","Albemarle County","Census Tract 109.01, Albemarle County, Virginia","% with Bachelors Degree","County Comaprison","64.7% Above Median"
"218","life_expE","51003010901","Albemarle County","Census Tract 109.01, Albemarle County, Virginia","Average Life Expectancy","County Comaprison","2.5% Below Median"
"219","hhincE","51003010901","Albemarle County","Census Tract 109.01, Albemarle County, Virginia","Median Household Income","County Comaprison","52.7% Below Median"
"220","badegreeE","51003010902","Albemarle County","Census Tract 109.02, Albemarle County, Virginia","% with Bachelors Degree","County Comaprison","1.8% Below Median"
"221","life_expE","51003010902","Albemarle County","Census Tract 109.02, Albemarle County, Virginia","Average Life Expectancy","County Comaprison",NA
"222","hhincE","51003010902","Albemarle County","Census Tract 109.02, Albemarle County, Virginia","Median Household Income","County Comaprison","46.6% Below Median"
"223","badegreeE","51003010903","Albemarle County","Census Tract 109.03, Albemarle County, Virginia","% with Bachelors Degree","County Comaprison","3.6% Above Median"
"224","life_expE","51003010903","Albemarle County","Census Tract 109.03, Albemarle County, Virginia","Average Life Expectancy","County Comaprison",NA
"225","hhincE","51003010903","Albemarle County","Census Tract 109.03, Albemarle County, Virginia","Median Household Income","County Comaprison","96.7% Below Median"
"226","badegreeE","51003011000","Albemarle County","Census Tract 110, Albemarle County, Virginia","% with Bachelors Degree","County Comaprison","41.7% Above Median"
"227","life_expE","51003011000","Albemarle County","Census Tract 110, Albemarle County, Virginia","Average Life Expectancy","County Comaprison","7% Above Median"
"228","hhincE","51003011000","Albemarle County","Census Tract 110, Albemarle County, Virginia","Median Household Income","County Comaprison","91.6% Above Median"
"229","badegreeE","51003011100","Albemarle County","Census Tract 111, Albemarle County, Virginia","% with Bachelors Degree","County Comaprison","10.2% Above Median"
"230","life_expE","51003011100","Albemarle County","Census Tract 111, Albemarle County, Virginia","Average Life Expectancy","County Comaprison","0.1% Above Median"
"231","hhincE","51003011100","Albemarle County","Census Tract 111, Albemarle County, Virginia","Median Household Income","County Comaprison","0.1% Below Median"
"232","badegreeE","51003011201","Albemarle County","Census Tract 112.01, Albemarle County, Virginia","% with Bachelors Degree","County Comaprison","11.6% Below Median"
"233","life_expE","51003011201","Albemarle County","Census Tract 112.01, Albemarle County, Virginia","Average Life Expectancy","County Comaprison","2.7% Below Median"
"234","hhincE","51003011201","Albemarle County","Census Tract 112.01, Albemarle County, Virginia","Median Household Income","County Comaprison","0.1% Below Median"
"235","badegreeE","51003011202","Albemarle County","Census Tract 112.02, Albemarle County, Virginia","% with Bachelors Degree","County Comaprison","25.5% Above Median"
"236","life_expE","51003011202","Albemarle County","Census Tract 112.02, Albemarle County, Virginia","Average Life Expectancy","County Comaprison","8% Above Median"
"237","hhincE","51003011202","Albemarle County","Census Tract 112.02, Albemarle County, Virginia","Median Household Income","County Comaprison","59.9% Above Median"
"238","badegreeE","51003011301","Albemarle County","Census Tract 113.01, Albemarle County, Virginia","% with Bachelors Degree","County Comaprison","40.1% Below Median"
"239","life_expE","51003011301","Albemarle County","Census Tract 113.01, Albemarle County, Virginia","Average Life Expectancy","County Comaprison","4.3% Above Median"
"240","hhincE","51003011301","Albemarle County","Census Tract 113.01, Albemarle County, Virginia","Median Household Income","County Comaprison","3.8% Below Median"
"241","badegreeE","51003011302","Albemarle County","Census Tract 113.02, Albemarle County, Virginia","% with Bachelors Degree","County Comaprison","23.9% Below Median"
"242","life_expE","51003011302","Albemarle County","Census Tract 113.02, Albemarle County, Virginia","Average Life Expectancy","County Comaprison","6.4% Below Median"
"243","hhincE","51003011302","Albemarle County","Census Tract 113.02, Albemarle County, Virginia","Median Household Income","County Comaprison","20.4% Below Median"
"244","badegreeE","51003011303","Albemarle County","Census Tract 113.03, Albemarle County, Virginia","% with Bachelors Degree","County Comaprison","10% Above Median"
"245","life_expE","51003011303","Albemarle County","Census Tract 113.03, Albemarle County, Virginia","Average Life Expectancy","County Comaprison","0.8% Below Median"
"246","hhincE","51003011303","Albemarle County","Census Tract 113.03, Albemarle County, Virginia","Median Household Income","County Comaprison","7.2% Above Median"
"247","badegreeE","51003011400","Albemarle County","Census Tract 114, Albemarle County, Virginia","% with Bachelors Degree","County Comaprison","51.2% Below Median"
"248","life_expE","51003011400","Albemarle County","Census Tract 114, Albemarle County, Virginia","Average Life Expectancy","County Comaprison","2% Below Median"
"249","hhincE","51003011400","Albemarle County","Census Tract 114, Albemarle County, Virginia","Median Household Income","County Comaprison","29.2% Below Median"
"250","badegreeE","51029930101","Buckingham County","Census Tract 9301.01, Buckingham County, Virginia","% with Bachelors Degree","County Comaprison","19.7% Below Median"
"251","life_expE","51029930101","Buckingham County","Census Tract 9301.01, Buckingham County, Virginia","Average Life Expectancy","County Comaprison","0.6% Below Median"
"252","hhincE","51029930101","Buckingham County","Census Tract 9301.01, Buckingham County, Virginia","Median Household Income","County Comaprison","3% Below Median"
"253","badegreeE","51029930102","Buckingham County","Census Tract 9301.02, Buckingham County, Virginia","% with Bachelors Degree","County Comaprison","19.7% Above Median"
"254","life_expE","51029930102","Buckingham County","Census Tract 9301.02, Buckingham County, Virginia","Average Life Expectancy","County Comaprison","2.5% Below Median"
"255","hhincE","51029930102","Buckingham County","Census Tract 9301.02, Buckingham County, Virginia","Median Household Income","County Comaprison","9% Below Median"
"256","badegreeE","51029930201","Buckingham County","Census Tract 9302.01, Buckingham County, Virginia","% with Bachelors Degree","County Comaprison","45% Below Median"
"257","life_expE","51029930201","Buckingham County","Census Tract 9302.01, Buckingham County, Virginia","Average Life Expectancy","County Comaprison","0.6% Above Median"
"258","hhincE","51029930201","Buckingham County","Census Tract 9302.01, Buckingham County, Virginia","Median Household Income","County Comaprison","3% Above Median"
"259","badegreeE","51029930202","Buckingham County","Census Tract 9302.02, Buckingham County, Virginia","% with Bachelors Degree","County Comaprison","59% Above Median"
"260","life_expE","51029930202","Buckingham County","Census Tract 9302.02, Buckingham County, Virginia","Average Life Expectancy","County Comaprison","3.4% Above Median"
"261","hhincE","51029930202","Buckingham County","Census Tract 9302.02, Buckingham County, Virginia","Median Household Income","County Comaprison","9.5% Above Median"
"262","badegreeE","51065020101","Fluvanna County","Census Tract 201.01, Fluvanna County, Virginia","% with Bachelors Degree","County Comaprison","9% Below Median"
"263","life_expE","51065020101","Fluvanna County","Census Tract 201.01, Fluvanna County, Virginia","Average Life Expectancy","County Comaprison","0% Above Median"
"264","hhincE","51065020101","Fluvanna County","Census Tract 201.01, Fluvanna County, Virginia","Median Household Income","County Comaprison","7.5% Above Median"
"265","badegreeE","51065020102","Fluvanna County","Census Tract 201.02, Fluvanna County, Virginia","% with Bachelors Degree","County Comaprison","75.9% Above Median"
"266","life_expE","51065020102","Fluvanna County","Census Tract 201.02, Fluvanna County, Virginia","Average Life Expectancy","County Comaprison","9.5% Above Median"
"267","hhincE","51065020102","Fluvanna County","Census Tract 201.02, Fluvanna County, Virginia","Median Household Income","County Comaprison","5.8% Above Median"
"268","badegreeE","51065020200","Fluvanna County","Census Tract 202, Fluvanna County, Virginia","% with Bachelors Degree","County Comaprison","0.5% Above Median"
"269","life_expE","51065020200","Fluvanna County","Census Tract 202, Fluvanna County, Virginia","Average Life Expectancy","County Comaprison","1.4% Below Median"
"270","hhincE","51065020200","Fluvanna County","Census Tract 202, Fluvanna County, Virginia","Median Household Income","County Comaprison","6% Below Median"
"271","badegreeE","51065020300","Fluvanna County","Census Tract 203, Fluvanna County, Virginia","% with Bachelors Degree","County Comaprison","0.5% Below Median"
"272","life_expE","51065020300","Fluvanna County","Census Tract 203, Fluvanna County, Virginia","Average Life Expectancy","County Comaprison",NA
"273","hhincE","51065020300","Fluvanna County","Census Tract 203, Fluvanna County, Virginia","Median Household Income","County Comaprison","5.8% Below Median"
"274","badegreeE","51079030101","Greene County","Census Tract 301.01, Greene County, Virginia","% with Bachelors Degree","County Comaprison","0.4% Below Median"
"275","life_expE","51079030101","Greene County","Census Tract 301.01, Greene County, Virginia","Average Life Expectancy","County Comaprison","7.8% Below Median"
"276","hhincE","51079030101","Greene County","Census Tract 301.01, Greene County, Virginia","Median Household Income","County Comaprison","10.5% Below Median"
"277","badegreeE","51079030102","Greene County","Census Tract 301.02, Greene County, Virginia","% with Bachelors Degree","County Comaprison","0% Above Median"
"278","life_expE","51079030102","Greene County","Census Tract 301.02, Greene County, Virginia","Average Life Expectancy","County Comaprison","3.8% Above Median"
"279","hhincE","51079030102","Greene County","Census Tract 301.02, Greene County, Virginia","Median Household Income","County Comaprison","0% Above Median"
"280","badegreeE","51079030200","Greene County","Census Tract 302, Greene County, Virginia","% with Bachelors Degree","County Comaprison","46.6% Above Median"
"281","life_expE","51079030200","Greene County","Census Tract 302, Greene County, Virginia","Average Life Expectancy","County Comaprison","0% Above Median"
"282","hhincE","51079030200","Greene County","Census Tract 302, Greene County, Virginia","Median Household Income","County Comaprison","24.6% Above Median"
"283","badegreeE","51109950100","Louisa County","Census Tract 9501, Louisa County, Virginia","% with Bachelors Degree","County Comaprison","5.7% Below Median"
"284","life_expE","51109950100","Louisa County","Census Tract 9501, Louisa County, Virginia","Average Life Expectancy","County Comaprison","3.8% Above Median"
"285","hhincE","51109950100","Louisa County","Census Tract 9501, Louisa County, Virginia","Median Household Income","County Comaprison","14.3% Above Median"
"286","badegreeE","51109950201","Louisa County","Census Tract 9502.01, Louisa County, Virginia","% with Bachelors Degree","County Comaprison","11.4% Below Median"
"287","life_expE","51109950201","Louisa County","Census Tract 9502.01, Louisa County, Virginia","Average Life Expectancy","County Comaprison","1.2% Below Median"
"288","hhincE","51109950201","Louisa County","Census Tract 9502.01, Louisa County, Virginia","Median Household Income","County Comaprison","30.6% Below Median"
"289","badegreeE","51109950202","Louisa County","Census Tract 9502.02, Louisa County, Virginia","% with Bachelors Degree","County Comaprison","5.7% Above Median"
"290","life_expE","51109950202","Louisa County","Census Tract 9502.02, Louisa County, Virginia","Average Life Expectancy","County Comaprison","4.1% Above Median"
"291","hhincE","51109950202","Louisa County","Census Tract 9502.02, Louisa County, Virginia","Median Household Income","County Comaprison","5.8% Above Median"
"292","badegreeE","51109950300","Louisa County","Census Tract 9503, Louisa County, Virginia","% with Bachelors Degree","County Comaprison","8.6% Above Median"
"293","life_expE","51109950300","Louisa County","Census Tract 9503, Louisa County, Virginia","Average Life Expectancy","County Comaprison","1% Above Median"
"294","hhincE","51109950300","Louisa County","Census Tract 9503, Louisa County, Virginia","Median Household Income","County Comaprison","2.6% Above Median"
"295","badegreeE","51109950400","Louisa County","Census Tract 9504, Louisa County, Virginia","% with Bachelors Degree","County Comaprison","29.4% Above Median"
"296","life_expE","51109950400","Louisa County","Census Tract 9504, Louisa County, Virginia","Average Life Expectancy","County Comaprison","1.1% Below Median"
"297","hhincE","51109950400","Louisa County","Census Tract 9504, Louisa County, Virginia","Median Household Income","County Comaprison","2.6% Below Median"
"298","badegreeE","51109950500","Louisa County","Census Tract 9505, Louisa County, Virginia","% with Bachelors Degree","County Comaprison","42.4% Below Median"
"299","life_expE","51109950500","Louisa County","Census Tract 9505, Louisa County, Virginia","Average Life Expectancy","County Comaprison","1% Below Median"
"300","hhincE","51109950500","Louisa County","Census Tract 9505, Louisa County, Virginia","Median Household Income","County Comaprison","6.6% Below Median"
"301","badegreeE","51113930100","Madison County","Census Tract 9301, Madison County, Virginia","% with Bachelors Degree","County Comaprison","10.9% Above Median"
"302","life_expE","51113930100","Madison County","Census Tract 9301, Madison County, Virginia","Average Life Expectancy","County Comaprison","2.8% Above Median"
"303","hhincE","51113930100","Madison County","Census Tract 9301, Madison County, Virginia","Median Household Income","County Comaprison","13% Above Median"
"304","badegreeE","51113930200","Madison County","Census Tract 9302, Madison County, Virginia","% with Bachelors Degree","County Comaprison","10.9% Below Median"
"305","life_expE","51113930200","Madison County","Census Tract 9302, Madison County, Virginia","Average Life Expectancy","County Comaprison","2.8% Below Median"
"306","hhincE","51113930200","Madison County","Census Tract 9302, Madison County, Virginia","Median Household Income","County Comaprison","13% Below Median"
"307","badegreeE","51125950100","Nelson County","Census Tract 9501, Nelson County, Virginia","% with Bachelors Degree","County Comaprison","60% Below Median"
"308","life_expE","51125950100","Nelson County","Census Tract 9501, Nelson County, Virginia","Average Life Expectancy","County Comaprison","5.5% Below Median"
"309","hhincE","51125950100","Nelson County","Census Tract 9501, Nelson County, Virginia","Median Household Income","County Comaprison","14.5% Below Median"
"310","badegreeE","51125950200","Nelson County","Census Tract 9502, Nelson County, Virginia","% with Bachelors Degree","County Comaprison","77.6% Above Median"
"311","life_expE","51125950200","Nelson County","Census Tract 9502, Nelson County, Virginia","Average Life Expectancy","County Comaprison","6.2% Above Median"
"312","hhincE","51125950200","Nelson County","Census Tract 9502, Nelson County, Virginia","Median Household Income","County Comaprison","26.3% Above Median"
"313","badegreeE","51125950300","Nelson County","Census Tract 9503, Nelson County, Virginia","% with Bachelors Degree","County Comaprison","0% Above Median"
"314","life_expE","51125950300","Nelson County","Census Tract 9503, Nelson County, Virginia","Average Life Expectancy","County Comaprison","0% Above Median"
"315","hhincE","51125950300","Nelson County","Census Tract 9503, Nelson County, Virginia","Median Household Income","County Comaprison","0% Above Median"
"316","badegreeE","51137110102","Orange County","Census Tract 1101.02, Orange County, Virginia","% with Bachelors Degree","County Comaprison","39.6% Below Median"
"317","life_expE","51137110102","Orange County","Census Tract 1101.02, Orange County, Virginia","Average Life Expectancy","County Comaprison","4.5% Below Median"
"318","hhincE","51137110102","Orange County","Census Tract 1101.02, Orange County, Virginia","Median Household Income","County Comaprison","0% Above Median"
"319","badegreeE","51137110103","Orange County","Census Tract 1101.03, Orange County, Virginia","% with Bachelors Degree","County Comaprison","81.6% Above Median"
"320","life_expE","51137110103","Orange County","Census Tract 1101.03, Orange County, Virginia","Average Life Expectancy","County Comaprison","4.6% Above Median"
"321","hhincE","51137110103","Orange County","Census Tract 1101.03, Orange County, Virginia","Median Household Income","County Comaprison","29.1% Above Median"
"322","badegreeE","51137110104","Orange County","Census Tract 1101.04, Orange County, Virginia","% with Bachelors Degree","County Comaprison","5.3% Below Median"
"323","life_expE","51137110104","Orange County","Census Tract 1101.04, Orange County, Virginia","Average Life Expectancy","County Comaprison","1.4% Above Median"
"324","hhincE","51137110104","Orange County","Census Tract 1101.04, Orange County, Virginia","Median Household Income","County Comaprison","13.3% Above Median"
"325","badegreeE","51137110200","Orange County","Census Tract 1102, Orange County, Virginia","% with Bachelors Degree","County Comaprison","17.9% Above Median"
"326","life_expE","51137110200","Orange County","Census Tract 1102, Orange County, Virginia","Average Life Expectancy","County Comaprison","2.4% Below Median"
"327","hhincE","51137110200","Orange County","Census Tract 1102, Orange County, Virginia","Median Household Income","County Comaprison","30.8% Below Median"
"328","badegreeE","51137110300","Orange County","Census Tract 1103, Orange County, Virginia","% with Bachelors Degree","County Comaprison","0% Above Median"
"329","life_expE","51137110300","Orange County","Census Tract 1103, Orange County, Virginia","Average Life Expectancy","County Comaprison","0% Above Median"
"330","hhincE","51137110300","Orange County","Census Tract 1103, Orange County, Virginia","Median Household Income","County Comaprison","3% Below Median"
"331","badegreeE","51540000201","Charlottesville","Census Tract 2.01, Charlottesville city, Virginia","% with Bachelors Degree","County Comaprison","12.8% Above Median"
"332","life_expE","51540000201","Charlottesville","Census Tract 2.01, Charlottesville city, Virginia","Average Life Expectancy","County Comaprison","1.1% Below Median"
"333","hhincE","51540000201","Charlottesville","Census Tract 2.01, Charlottesville city, Virginia","Median Household Income","County Comaprison","4.8% Below Median"
"334","badegreeE","51540000202","Charlottesville","Census Tract 2.02, Charlottesville city, Virginia","% with Bachelors Degree","County Comaprison","41.3% Below Median"
"335","life_expE","51540000202","Charlottesville","Census Tract 2.02, Charlottesville city, Virginia","Average Life Expectancy","County Comaprison",NA
"336","hhincE","51540000202","Charlottesville","Census Tract 2.02, Charlottesville city, Virginia","Median Household Income","County Comaprison","62.3% Below Median"
"337","badegreeE","51540000302","Charlottesville","Census Tract 3.02, Charlottesville city, Virginia","% with Bachelors Degree","County Comaprison","2.4% Below Median"
"338","life_expE","51540000302","Charlottesville","Census Tract 3.02, Charlottesville city, Virginia","Average Life Expectancy","County Comaprison","1% Above Median"
"339","hhincE","51540000302","Charlottesville","Census Tract 3.02, Charlottesville city, Virginia","Median Household Income","County Comaprison","4% Above Median"
"340","badegreeE","51540000401","Charlottesville","Census Tract 4.01, Charlottesville city, Virginia","% with Bachelors Degree","County Comaprison","25.9% Below Median"
"341","life_expE","51540000401","Charlottesville","Census Tract 4.01, Charlottesville city, Virginia","Average Life Expectancy","County Comaprison","7.4% Below Median"
"342","hhincE","51540000401","Charlottesville","Census Tract 4.01, Charlottesville city, Virginia","Median Household Income","County Comaprison","14.5% Below Median"
"343","badegreeE","51540000402","Charlottesville","Census Tract 4.02, Charlottesville city, Virginia","% with Bachelors Degree","County Comaprison","26.3% Below Median"
"344","life_expE","51540000402","Charlottesville","Census Tract 4.02, Charlottesville city, Virginia","Average Life Expectancy","County Comaprison","4.1% Below Median"
"345","hhincE","51540000402","Charlottesville","Census Tract 4.02, Charlottesville city, Virginia","Median Household Income","County Comaprison","4% Below Median"
"346","badegreeE","51540000501","Charlottesville","Census Tract 5.01, Charlottesville city, Virginia","% with Bachelors Degree","County Comaprison","39% Below Median"
"347","life_expE","51540000501","Charlottesville","Census Tract 5.01, Charlottesville city, Virginia","Average Life Expectancy","County Comaprison","4% Below Median"
"348","hhincE","51540000501","Charlottesville","Census Tract 5.01, Charlottesville city, Virginia","Median Household Income","County Comaprison","34.2% Below Median"
"349","badegreeE","51540000502","Charlottesville","Census Tract 5.02, Charlottesville city, Virginia","% with Bachelors Degree","County Comaprison","17.2% Above Median"
"350","life_expE","51540000502","Charlottesville","Census Tract 5.02, Charlottesville city, Virginia","Average Life Expectancy","County Comaprison","0.3% Above Median"
"351","hhincE","51540000502","Charlottesville","Census Tract 5.02, Charlottesville city, Virginia","Median Household Income","County Comaprison","44.4% Above Median"
"352","badegreeE","51540000600","Charlottesville","Census Tract 6, Charlottesville city, Virginia","% with Bachelors Degree","County Comaprison","23.2% Above Median"
"353","life_expE","51540000600","Charlottesville","Census Tract 6, Charlottesville city, Virginia","Average Life Expectancy","County Comaprison",NA
"354","hhincE","51540000600","Charlottesville","Census Tract 6, Charlottesville city, Virginia","Median Household Income","County Comaprison","48.4% Below Median"
"355","badegreeE","51540000700","Charlottesville","Census Tract 7, Charlottesville city, Virginia","% with Bachelors Degree","County Comaprison","58.8% Above Median"
"356","life_expE","51540000700","Charlottesville","Census Tract 7, Charlottesville city, Virginia","Average Life Expectancy","County Comaprison","3.8% Above Median"
"357","hhincE","51540000700","Charlottesville","Census Tract 7, Charlottesville city, Virginia","Median Household Income","County Comaprison","28.9% Above Median"
"358","badegreeE","51540000800","Charlottesville","Census Tract 8, Charlottesville city, Virginia","% with Bachelors Degree","County Comaprison","0.5% Below Median"
"359","life_expE","51540000800","Charlottesville","Census Tract 8, Charlottesville city, Virginia","Average Life Expectancy","County Comaprison","0.3% Below Median"
"360","hhincE","51540000800","Charlottesville","Census Tract 8, Charlottesville city, Virginia","Median Household Income","County Comaprison","23.6% Above Median"
"361","badegreeE","51540000900","Charlottesville","Census Tract 9, Charlottesville city, Virginia","% with Bachelors Degree","County Comaprison","0.5% Above Median"
"362","life_expE","51540000900","Charlottesville","Census Tract 9, Charlottesville city, Virginia","Average Life Expectancy","County Comaprison","2.1% Above Median"
"363","hhincE","51540000900","Charlottesville","Census Tract 9, Charlottesville city, Virginia","Median Household Income","County Comaprison","18.6% Above Median"
"364","badegreeE","51540001000","Charlottesville","Census Tract 10, Charlottesville city, Virginia","% with Bachelors Degree","County Comaprison","43.2% Above Median"
"365","life_expE","51540001000","Charlottesville","Census Tract 10, Charlottesville city, Virginia","Average Life Expectancy","County Comaprison","3.6% Above Median"
"366","hhincE","51540001000","Charlottesville","Census Tract 10, Charlottesville city, Virginia","Median Household Income","County Comaprison","25.1% Above Median"
"367","badegreeE","51003010100","Albemarle County","Census Tract 101, Albemarle County, Virginia","% with Bachelors Degree","Regional Comparison","18% Above Median"
"368","life_expE","51003010100","Albemarle County","Census Tract 101, Albemarle County, Virginia","Average Life Expectancy","Regional Comparison","5.8% Above Median"
"369","hhincE","51003010100","Albemarle County","Census Tract 101, Albemarle County, Virginia","Median Household Income","Regional Comparison","44.2% Above Median"
"370","badegreeE","51003010201","Albemarle County","Census Tract 102.01, Albemarle County, Virginia","% with Bachelors Degree","Regional Comparison","26.6% Above Median"
"371","life_expE","51003010201","Albemarle County","Census Tract 102.01, Albemarle County, Virginia","Average Life Expectancy","Regional Comparison","3% Below Median"
"372","hhincE","51003010201","Albemarle County","Census Tract 102.01, Albemarle County, Virginia","Median Household Income","Regional Comparison","27.1% Above Median"
"373","badegreeE","51003010202","Albemarle County","Census Tract 102.02, Albemarle County, Virginia","% with Bachelors Degree","Regional Comparison","75.5% Above Median"
